Département-Circonscription,Circonscription,Candidat,Etiquette,Couleur,Sortant,Popup
1001,Aube (10) - 1ère circonscription,Jordan Guitton,Rassemblement national,#002E61,sortant,
1001,Aube (10) - 1ère circonscription,Chris Manieri-Bigorgne,Les Républicains,#005ce6,,
1001,Aube (10) - 1ère circonscription,,Nouveau Front populaire (PS),#ff6daa,,Le nom du candidat n'est pas encore connu. La NUPES était déjà représentée par EELV dans cette circonscription en 2022.
1002,Aube (10) - 2ème circonscription,Valérie Bazin-Malgras,Les Républicains,#005ce6,sortante,
1002,Aube (10) - 2ème circonscription,Salomé Fontaine-Garcia,Modem,#ff8400,,Présidente du mouvement territorial Modem dans l'Aube
1002,Aube (10) - 2ème circonscription,,Nouveau Front populaire (PS),#ff6daa,,Le nom du candidat n'est pas encore connu. La NUPES était déjà représentée par LFI dans cette circonscription en 2022.
1003,Aube (10) - 3ème circonscription,Angélique Ranc,Rassemblement national,#002E61,sortante,
1003,Aube (10) - 3ème circonscription,Olivier Girardin,Nouveau Front populaire (PS),#ff6daa,,Olivier Girardin est maire de La Chapelle Saint-Luc
1003,Aube (10) - 3ème circonscription,Didier Leprince,Les Républicains,#005ce6,,
1003,Aube (10) - 3ème circonscription,Olivier Richard,Divers droite,#0099FF,,Olivier Richard est conseiller municipal à Troyes
