Département-Circonscription,Circonscription,Candidat,Etiquette,Couleur,Sortant,Popup
0801,Ardennes (08) - 1ère circonscription,Lionel Vuibert,Renaissance,#9859fc,sortant,
0801,Ardennes (08) - 1ère circonscription,Damien  Lerouge,Nouveau Front populaire (PS),#ff6daa,,Damien Lerouge est Premier secrétaire fédéral du Parti socialiste dans les Ardennes
0801,Ardennes (08) - 1ère circonscription,Sabine Misset,Les Républicains,#005ce6,,"Guillaume Maréchal, vice-président du conseil régional du Grand Est et candidat pour Les Républicains en 2022 dans cette circonscription, nous a indiqué qu'il ne se présentait pas aux législatives 2024."
0801,Ardennes (08) - 1ère circonscription,Nadia Octave,Lutte ouvrière,#AF0000,,
0801,Ardennes (08) - 1ère circonscription,Arnaud Rennesson,Écologistes,#AAAAAA,,
0801,Ardennes (08) - 1ère circonscription,Flavien Termet,Rassemblement national,#002E61,,Délégué du Rassemblement national dans les Ardennes
0801,Ardennes (08) - 1ère circonscription,Sonia d'Orgeville,Écologie au centre,#04B34D,,
0802,Ardennes (08) - 2ème circonscription,Pierre Cordier,Divers droite,#0099FF,sortant,
0802,Ardennes (08) - 2ème circonscription,Gilles Loyez,Nouveau Front populaire (LFI),#db1616,,La NUPES était déjà représentée par Gilles Loyez dans cette circonscription en 2022
0802,Ardennes (08) - 2ème circonscription,Philippe Mathot,Renaissance,#9859fc,,Philippe Mathot a été député entre 1993 et 1997. Il est président de l'assemblée départementale du parti Renaissance dans les Ardennes
0802,Ardennes (08) - 2ème circonscription,Pauline Mester,Rassemblement national,#002E61,,
0803,Ardennes (08) - 3ème circonscription,Sophie Perrin,Nouveau Front populaire (LFI),#db1616,,La NUPES déjà était représentée par Sophie Perrin dans cette circonscription en 2022
0803,Ardennes (08) - 3ème circonscription,Isabelle Roger,Rassemblement national,#002E61,,
1001,Aube (10) - 1ère circonscription,Jordan Guitton,Rassemblement national,#002E61,sortant,
1001,Aube (10) - 1ère circonscription,Chris Manieri-Bigorgne,Les Républicains,#005ce6,,
